yt_url,check_date,is_posted_in_date_range
https://www.youtube.com/channel/UCnDbTbIiYgBg_MRUKbqI2Eg,16-05-2024,No short Videos
https://www.youtube.com/channel/UC73TQ6-uoMkmpdJuwE6A2CA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCq-Jn9x0T5OHN64DTOP2nhA,16-05-2024,Banned
https://www.youtube.com/channel/UCbDeLCyqxaZnLZDYpd5rnrA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCFiYDLewSP4KuvoidnFCW_w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCxvh6KAKPSKQgsxaoudPYGw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC81bxgGwnjeN7pLPJFci9uw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC30AfS_Eb5l7r6CtUumdCsA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCNVZL9S_9kBFmnOwhV3b7PA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCtOxEE8N3ddKl8PEwoXkLoQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UClmPQwIvIerP2GmKeJQ5_aw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCbJAa5-CfBda1r_mlKjASuQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCOpWGjq4Yp7izNRfShkekjw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCodq27VX7QqBCjBXENy8pVA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCS5OzRgYPzc_bfveKFc4mNw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCRMX7IWlG7Hqna2gDhGan_g,16-05-2024,No short Videos
https://www.youtube.com/channel/UCO4oU_K3CcNRFpwoi4MjN5A,16-05-2024,No short Videos
https://www.youtube.com/channel/UClwaYTScBFBfaDsU-4dcV9Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UCeyfypWkfULu3BKLvRAUXsQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC9dXUDRtHtAulI8U0DdkMfw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCUn_IPPXTCFZ8IfhVPVsxcA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCg16fV-BKHHxnK_6eaDDtDw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCD2YO_A_PVMgMDN9jpRrpVA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-QkvVA4uPl0ol0u1mrahjw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCGcmtA7H1ILtrsFH_5E62cQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCdkrHEDb1xT3gts9lct12Ug,16-05-2024,No short Videos
https://www.youtube.com/channel/UCjrwkxVOpN133r1Yp07583Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UCyUJvPTlR-pklwT0APpFIhA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCfMin5288niLVeHMzaBRQNw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC_m_uqd_9s0hZvlgfvCzqbQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCXbMoUZrHm_dcPCsZZZz4Zw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCkGLGs2ZCNRSlOs9s-8S_qA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCAyvCxdhYV-Zg7PSGZJoQ2A,16-05-2024,No short Videos
https://www.youtube.com/channel/UC3e5gXrcn53TYFr2Piu7CKQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCnViB_FH7xM7cn2bGW-H4XA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC9X82U8Xglg8cziPWFWhFEA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCZ9pEsDhW3x0c1NR6vM5eRw,16-05-2024,Banned
https://www.youtube.com/channel/UCrkHWAf_xR2S6YwSocU980g,16-05-2024,No short Videos
https://www.youtube.com/channel/UCqpFn_r0p9-T5BU6OfxnyaQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC7HZKEtot9TJD9eIax1TmgA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCXaIZSV4vLnPkozCk-O7ktg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCh6O-aBKR-99dg4rPy69CXg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCvaQEhibxkeLiKt5GbySj6w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCBA9XaL5wCdHnC5EmEzwrqw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCc7eenRzcuNtJ2v4Ej9Ihfw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCFfY9A0_VjbJk6_wG7FyJXA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC_YRfM58EnNEzPhJZuvpK6g,16-05-2024,No short Videos
https://www.youtube.com/channel/UCHdDGlROrbk9saotVVgwpOA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC3pkKn9MtoMts5aPAKy7LMA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCbfRcXCHe5I2RI6F8XIUQng,16-05-2024,No short Videos
https://www.youtube.com/channel/UCHLvxZHx0QP2TnSu9s75Y-g,16-05-2024,No short Videos
https://www.youtube.com/channel/UC0a-XKZhVHvtuJVvaCJRnQA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCoXshK0e0l0DaDf3KbUd1Fw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCq_aA_s-zYVzDUzAjjve-sw,16-05-2024,Banned
https://www.youtube.com/channel/UCAShKCeL2ro9LFKpObqxL-Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UC_Dc370lVDGuCY-FbvXe1qw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCGVM98SQWdMMTBVOz2-2Tiw,16-05-2024,Banned
https://www.youtube.com/channel/UCVWROowwWiGeoPdc_X-CNPg,16-05-2024,Banned
https://www.youtube.com/channel/UCC_iGh0KaEHqA8ChSx6v6Rg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCZtpUg2WzSJq2Ns1Yb785eQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCKvH5l7jbKpbWAwlHMG4tKw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCDWlQ2AcGlcckdefjtF0goQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCc1Iq2QteZJ-QuUmO3XP5KA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCTeZRYQqm3F31FhqbFNGERw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCSjWZu0f8bcgIIx0kRcGPwQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC2BmSdUv0_jZYFBAaYtCrsQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCCuuRWM5JTvYBnbufwJ4E5Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UCiiV8stcewhoCNyiErr7GtA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC9bspJyf5JSS70TM4TYgZwQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCbuks6fmwRefCTGg9aNwgeQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCjHO2W3wp44Bh1xh2HD9uIQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCFU-YzYjd1faci3x_7A-ZQA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCLuDznROytXtnMSDwo5aGJQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC1H-AidgZxdmlNK0Qe0K0Cw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCFtY8NtxTmaSR5oZx3OJrGg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCEtATEIYeuPUL42139mNB5w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCzxmzF3Y-G8Ebfy_BAwvbvw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCbD6i9kdB39dh2naaWMTxOA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCbHPSZ7KkDSFhoYpINm044A,16-05-2024,Banned
https://www.youtube.com/channel/UCwxEt7qp3I9cXi3mVE81FKA,16-05-2024,No short Videos
https://www.youtube.com/channel/UClgieCzaMtSRPBJiUfgcXzg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCXCn-6zVFuHPstWFn8DAj1Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UCWZLEHW3v-7_UT8D3nyYffA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCKbLN8HFP0jbBvgvY_TB_eA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCs-3xMBZGFmVhRGB_pljfFg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCoxT4Z_5xt-7oRJm58g32wA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCgkIHTx7fyfWALbmO2HK2aA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCeYXGDyPW93RVhVjnkSL_bA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCYuXe8y4Hsz1-flloFBJt5Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UCUsh0IOpcrApu75NKc3sHxQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC_iRElXv7hwMCPtQxkIUQzg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCHDhCSr94pN91YjPPVf0_Kw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC9o3Dwup0LKOs40xrJnvd6A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCYepXp0JVDCAO_VWf6YKrJg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCIB_oNqi62rKnPFb3Toaozw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJ-WDvNyJYnt-9lIIX7uKGA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCpnrai4Ew3EoQuxfxf_8lfQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC5GP6QiUlLU1qXHzjDkj9WA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCl3idtFdsmndolQvbUghcZg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCpRLkb38tHVxVHxQYdfPn3g,16-05-2024,No short Videos
https://www.youtube.com/channel/UC1FK8EsrPHHVOvrDvctqpbQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCI1yiw8tCohHKer33je8KBQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC5dS3AobPKOlYr0Wd0TOcUQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJTnmAUYJ78wClQ8rTRYqDw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCgWZnbiY9xldrzkBFtlX8yw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCStEZKLBBniB7AjRQDNyvWA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCF8W68PS2Ltz17lTDSptDvg,16-05-2024,No short Videos
https://www.youtube.com/channel/UC5biYYSX5sh4QR98ekCd8KA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCsiuN8Jco3LbbuTyGuqRgKg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCOOwpp5JEgQPPs0SVsBb13w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCoE3Mxoze4a1hFeSSxDuxIg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCLRsGw2SbtsorSYT95bOplA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC5Znk83wpDdporFLdDWHARQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC1d28hRWNGOFZKpsbMe96aw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC2UeEbk6O-Tv2N9anoqInQg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCAULCo55sioPwmAeI6NVSkg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCeudxdJJ4VtlP43Pv9l7f-A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCVTDGEm65ViytGd--EuQ_ZA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCBGZwqjq8t-XZPPj_kM9EaQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC2ADd7jF1DCYcPasUQOS7Jg,16-05-2024,No short Videos
https://www.youtube.com/channel/UC_M1AAWIFbINwIWBAQfIfhg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCQfISxq5legTqOt1h1us6lg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCf5X9ErZU-PjPr6uIYfDUJw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC7bRo3yLjtrRV9qU_KsE6nA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCGjcqfd2Uj4hAaxNQovbG2A,16-05-2024,No short Videos
https://www.youtube.com/channel/UC2C-970d2o-YGLPqsG6FcWQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC8GiT7WAkok7WiErM_0jHKA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCsgCBJw1IbAMQ-VwhS6akdA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCZfupFXtc1U6hofsotI36zQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCuKbAWuSG9F_UEF2Xngbq0A,16-05-2024,No short Videos
https://www.youtube.com/channel/UC5ZqaJ9klJrwgsKjYW42JtA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC3ihyjIvubiIAieg8SlmtIQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC5pbeFWTPAUdKu65kBROsBg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCVmbVJXq1Xd0K_fRg_6uT-w,16-05-2024,No short Videos
https://www.youtube.com/channel/UClwzJ_A9bLq_crgczFU9Itw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCEPuItFWOOJ2o5hTu65NlEg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCeMgZ-xi9oCYYf2AHiGEKWQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-9oz6OofrZnaOUQ48-LavA,16-05-2024,No short Videos
https://www.youtube.com/channel/UChlgI3UHCOnwUGzWzbJ3H5w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCTSfYd4nnazx_kAl3oIBpyw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJVkX-srnsj-qyEIO0m7JCQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCv514-N0KhdSjbMBA2yHNYQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCMTpto3kWqH3xdYIHYCvYZg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCdJEFiuruutP-w893z_lx_Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UCHX1XN5tzV6NV2xW_ZNuMyA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC5mBVaSmx6v3AXqtZmMX_Kg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCfsNuo871ShOAsbQuFyksQA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCz8AcyS6eJvTWNdPGx57pEQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCIQqi_9EQbmQhMQ8YVG3GKw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC6e43Z5P_ThOnz7XaSe5zpw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC_3Tvp_omLrcGl9lIZTWcPw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCbTL66F9HUJRvup8HKCBD-w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCR_-5nSCnmZvpHoj8OYOUcQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCThc6U-R2kMl2tgVSJQrMBw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCcRl9hT8-VuOaysct5ejMuQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCEn8glP9FJvpTY05IMY7xSQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCewwdEBQ55pB-9DFD-K_d-w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCcOpzCuVnpUxgHXU6XBdTrQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCu6mog947IWOXL23AzKlImw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC6iL7bXdg0OF4ncDC27_Emg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCusZQFGX7tUfHDTCLsKykEw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCFPkM17-Zb1jtmnM0ZuLlWw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCAAoF2T0cwxKxlApUZ8TmVw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCXeXeCn960Hm-y289HCAxkQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC1RjCqJ8nlQq-kx7mXYhPWg,16-05-2024,No short Videos
https://www.youtube.com/channel/UC9lOjUorxPT9avPSQ8ORi5w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCijBTYEiKT1OJO54C6PnRqw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCO0lkBv9enXUbSXFR-zLEUQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC8tYgnrcFXk7OCY_uoBmh-A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCzGblRaF5unKKz10hACKGDg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCpMGj1q-ptVSHllhhab879A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCfHsXdttq6t-59HaJKgk5uw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCx_eAZKDceT1yaY4bRo636A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCr_vGOCPjmYx3pd1iCFL7Bg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCZ9uzAn6d-7yCSL6AHXCM6A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCiJAivEt0pbBA9CnAqhUpuQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-RgePSIPItac2e9ludu1RQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJVxtcVFZ7ndTRkhEXNwgPA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJ1LjC0GzoFy0BMWNif-tHQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCpYPXblQny-J7k3MIG-f1qQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC5y_hpfH1ChKcKx7wUEM2cg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCCfy_jauEe07jowzGkEqo-g,16-05-2024,No short Videos
https://www.youtube.com/channel/UCOjKMoPYvIaiC679BYaEOKA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCrLUuZAPA7K6kAip78bKxYg,16-05-2024,No short Videos
https://www.youtube.com/channel/UC10v5-HAge1PBpVSxEqSjkA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCplK6C61CDN1wg01mVdQ2Yw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-4uuOgNav04iHRjjh7B82g,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-cz-xLb-A7uFMUfzhh_rng,16-05-2024,No short Videos
https://www.youtube.com/channel/UCtCRr4rDWjpRi8LSWexmCKg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCFpfKdO4MMSc9ZoMjk2Tikg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCN106RQxroojNzkEMuRC0BA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCgNxKrHO-Ow69eQCjM4ccFA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCexUyFaq9YH7XJfCQzVR_jg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCccKBGf5ce2jaSEs3amjWow,16-05-2024,No short Videos
https://www.youtube.com/channel/UCZI80CMaatBwH_vv2xPvlXg,16-05-2024,No short Videos
